ASV.ID,5m Dec2014,25m Dec2014,45m Dec2014,75m Dec2014,100m Dec2014,125m Dec2014,155m Dec2014,175m Dec2014,300m Dec2014,400m Dec2014,500m Dec2014,770m Dec2014,5m Apr2015,25m Apr2015,75m Apr2015,100m Apr2015,125m Apr2015,150m Apr2015,175m Apr2015,300m Apr2015,400m Apr2015,500m Apr2015,770m Apr2015,5m Aug2015,25m Aug2015,45m Aug2015,75m Aug2015,100m Aug2015,125m Aug2015,150m Aug2015,175m Aug2015,300m Aug2015,400m Aug2015,500m Aug2015,770m Aug2015,5m Dec2015,25m Dec2015,45m Dec2015,75m Dec2015,100m Dec2015,125m Dec2015,150m Dec2015,175m Dec2015,300m Dec2015,400m Dec2015,500m Dec2015,770m Dec2015,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Taxa
00715ddd3e762dc40a6179b71e749e95,0,0,0,0,0,0,0,0,1059.628079,0,0,0,0,0,0,0,0,0,0,0,0,786.7874786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae_B,Leegaardiella,Leegaardiella_sp.;,Alveolates-Ciliates
00830e358bdc2d1594364ce14095c03b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.4479876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_X,Acantharea_XX,Acantharea_XXX,Acantharea_XXX_sp.;,Rhizaria-Radiolaria
008a52f21fef7a3af6ffe295c678bfdd,0,670.8371025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Stramenopiles_X,MOCH,MOCH-2,MOCH-2_X,MOCH-2_XX,MOCH-2_XX_sp.;,Stramenopiles-Other
008c7ff79ae0cf6abc669ee0746bfa11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.7606846,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,XXX,XXX,XXX,XXX,XXX,Dinoflagellates-other
00909223410d79f0b0a83361525e0bd4,0,0,0,0,0,0,0,0,0,0,549.4989646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-15,Dino-Group-II-Clade-15_X,Dino-Group-II-Clade-15_X_sp.;,Alveolates-Syndiniales
00960808a7aff0338aa8dc1cb8b37070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91922636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,XXX,XXX,XXX,XXX,XXX,Alveolates-Ciliates
00a3246155879e92ee4e73df6c1607bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530.336128,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia,Scuticociliatia-1,Scuticociliatia-1_X,Scuticociliatia-1_X_sp.;,Alveolates-Ciliates
00a63ee3d026ec73c50e6a1ea09b5ab8,0,0,0,0,0,162.1978927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Pyloniidae-Spongodiscidae,Pyloniidae-Spongodiscidae_X,Pyloniidae-Spongodiscidae_X_sp.;,Rhizaria-Radiolaria
00a6d37795d7c073f9d0524ae374eb3f,0,0,0,0,0,0,0,0,0,232.0711759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-I,Dino-Group-I_X,Dino-Group-I_XX,Dino-Group-I_XX_sp.;,Alveolates-Syndiniales
00aae6a9330f8bea1c1c4f34a327ab33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.85661702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Dinophyta,Syndiniales,Dino-Group-II,XXX,XXX,XXX,Alveolates-Syndiniales
